iter	Accuracy	Logloss
0	0.6729007634	0.6880972465
1	0.6755725191	0.6848346765
2	0.679389313	0.6797976751
3	0.6896946565	0.6746514148
4	0.6923664122	0.6708596082
5	0.6954198473	0.666873629
6	0.6916030534	0.6635735952
7	0.691221374	0.6595057265
8	0.6942748092	0.6557310004
9	0.6923664122	0.6533704487
10	0.6946564885	0.6502274693
11	0.7	0.6459627456
12	0.7015267176	0.6426946006
13	0.7083969466	0.6395625244
14	0.7083969466	0.6363050624
15	0.7125954198	0.6324472644
16	0.7148854962	0.6303395477
17	0.7141221374	0.6277423913
18	0.7118320611	0.6255019089
19	0.7160305344	0.6223370709
20	0.7167938931	0.6197547685
21	0.7179389313	0.6169177738
22	0.7171755725	0.6140408733
23	0.7202290076	0.6114746028
24	0.7217557252	0.6082385816
25	0.7221374046	0.6065154047
26	0.7232824427	0.6046770161
27	0.727480916	0.6023333964
28	0.7286259542	0.5998406714
29	0.7297709924	0.5976681652
30	0.7305343511	0.5947893622
31	0.7305343511	0.5925748149
32	0.7324427481	0.5901731969
33	0.7335877863	0.5878191699
34	0.7347328244	0.5859422777
35	0.7408396947	0.5831693137
36	0.7370229008	0.5819294891
37	0.7389312977	0.5794606252
38	0.7393129771	0.5776721405
39	0.7408396947	0.5753360458
40	0.7400763359	0.5750007686
41	0.741221374	0.5730170893
42	0.7450381679	0.5705019104
43	0.7454198473	0.5681736734
44	0.7461832061	0.565704899
45	0.7458015267	0.5634943034
46	0.7473282443	0.5620102842
47	0.7473282443	0.5604869339
48	0.75	0.5582149251
49	0.7503816794	0.5571879233
50	0.7492366412	0.5557454003
51	0.7519083969	0.5541641215
52	0.7511450382	0.5527264787
53	0.7530534351	0.5510875097
54	0.7545801527	0.5498971458
55	0.756870229	0.5475778648
56	0.756870229	0.5464059292
57	0.7572519084	0.5444743524
58	0.7564885496	0.5434799953
59	0.7583969466	0.5412548552
60	0.7599236641	0.5404701449
61	0.7614503817	0.5385962332
62	0.7606870229	0.5368954345
63	0.7614503817	0.5352258456
64	0.7622137405	0.5339727181
65	0.7633587786	0.5329685531
66	0.7629770992	0.5315747976
67	0.763740458	0.5301737919
68	0.7622137405	0.5286413353
69	0.765648855	0.5274069576
70	0.7660305344	0.5259701754
71	0.7660305344	0.5250463823
72	0.7671755725	0.5238489484
73	0.7694656489	0.5223961969
74	0.7690839695	0.52144935
75	0.7709923664	0.5199590366
76	0.7717557252	0.5186058173
77	0.7721374046	0.5170893404
78	0.772519084	0.515751293
79	0.7744274809	0.5141278787
80	0.7755725191	0.5131684246
81	0.7763358779	0.5119956259
82	0.7778625954	0.5107119933
83	0.7782442748	0.509463629
84	0.7801526718	0.5079529976
85	0.7820610687	0.5069117178
86	0.7839694656	0.5052060687
87	0.7835877863	0.5035284096
88	0.7854961832	0.5025131575
89	0.7881679389	0.5008518345
90	0.7896946565	0.4995968482
91	0.7893129771	0.4984325737
92	0.7900763359	0.4971767912
93	0.7904580153	0.4962586622
94	0.791221374	0.4949020038
95	0.7919847328	0.4939820157
96	0.7935114504	0.4920111251
97	0.7935114504	0.4914511358
98	0.7923664122	0.4902745304
99	0.7927480916	0.4885930836
100	0.7946564885	0.4877855028
101	0.7950381679	0.4866188822
102	0.7958015267	0.4860173417
103	0.7980916031	0.4851614718
104	0.7984732824	0.4840571448
105	0.7992366412	0.4830710111
106	0.7996183206	0.4825090572
107	0.8011450382	0.4815066464
108	0.8041984733	0.4806234935
109	0.8049618321	0.4792833088
110	0.8045801527	0.4783487248
111	0.8061068702	0.4774841275
112	0.8072519084	0.4762095216
113	0.8095419847	0.4748119726
114	0.8080152672	0.4736322343
115	0.8080152672	0.4731027189
116	0.8095419847	0.4725607565
117	0.8103053435	0.4716890094
118	0.8110687023	0.4706415529
119	0.8125954198	0.4696251651
120	0.8129770992	0.4689287225
121	0.8141221374	0.4677506521
122	0.8148854962	0.4669119503
123	0.8160305344	0.4660541213
124	0.8164122137	0.4651018825
125	0.8164122137	0.4643628126
126	0.8187022901	0.4637763813
127	0.8190839695	0.4630622429
128	0.8179389313	0.4621605033
129	0.8183206107	0.4615216588
130	0.8194656489	0.4606186687
131	0.8198473282	0.4596252371
132	0.8232824427	0.4583875434
133	0.8232824427	0.4571990277
134	0.8248091603	0.4561588871
135	0.8270992366	0.4550752682
136	0.8270992366	0.4545245024
137	0.8286259542	0.4536571911
138	0.8301526718	0.4527383749
139	0.8297709924	0.4513263757
140	0.8301526718	0.4506137826
141	0.8316793893	0.4501734246
142	0.8320610687	0.4494248922
143	0.8324427481	0.4488335264
144	0.8328244275	0.4479642863
145	0.8320610687	0.4473781013
146	0.8332061069	0.4466092027
147	0.8324427481	0.4459502956
148	0.8335877863	0.4452605614
149	0.834351145	0.4443794319
150	0.8358778626	0.4433370284
151	0.8370229008	0.442359496
152	0.8366412214	0.4415948533
153	0.836259542	0.4404791986
154	0.8370229008	0.4396336638
155	0.8370229008	0.4390507654
156	0.8381679389	0.4376460693
157	0.8408396947	0.4370333203
158	0.8423664122	0.4361071248
159	0.8416030534	0.4354396621
160	0.8435114504	0.4348275566
161	0.843129771	0.4341959851
162	0.8446564885	0.4330262268
163	0.8458015267	0.4324894483
164	0.8454198473	0.4319201996
165	0.8469465649	0.4313177123
166	0.8465648855	0.4302241234
167	0.8473282443	0.4297416658
168	0.8480916031	0.4288089565
169	0.8488549618	0.4280731387
170	0.8484732824	0.4271331366
171	0.85	0.4258842838
172	0.8496183206	0.4256825634
173	0.8519083969	0.4245440143
174	0.8519083969	0.4238668757
175	0.8515267176	0.4231138888
176	0.8526717557	0.4226406423
177	0.8541984733	0.4217446282
178	0.8538167939	0.4208577224
179	0.8549618321	0.4200330699
180	0.8553435115	0.4188688012
181	0.8557251908	0.4177064579
182	0.8553435115	0.4168870085
183	0.8553435115	0.4162290317
184	0.8572519084	0.4155339435
185	0.8583969466	0.4148558294
186	0.8576335878	0.4142979806
187	0.8583969466	0.413621158
188	0.8583969466	0.4127505421
189	0.8591603053	0.4119232588
190	0.8606870229	0.4111514755
191	0.8610687023	0.4103219697
192	0.8629770992	0.4094515897
193	0.865648855	0.4087372244
194	0.8660305344	0.4075823299
195	0.8660305344	0.4071206446
196	0.8675572519	0.4061004116
197	0.8694656489	0.4051297962
198	0.8694656489	0.404462096
199	0.8702290076	0.4039443557
200	0.8713740458	0.4032896043
201	0.8732824427	0.4021283632
202	0.8732824427	0.4015281634
203	0.8736641221	0.4008102096
204	0.8744274809	0.40007292
205	0.8770992366	0.3991842006
206	0.8778625954	0.3984269535
207	0.8790076336	0.3975775868
208	0.879389313	0.3973366957
209	0.8805343511	0.3962684579
210	0.8809160305	0.3962259012
211	0.8809160305	0.3952771371
212	0.8812977099	0.3939705037
213	0.8828244275	0.3930497087
214	0.8828244275	0.3926991102
215	0.8839694656	0.3916390993
216	0.8851145038	0.391105424
217	0.8835877863	0.3902321188
218	0.8847328244	0.3896559639
219	0.8858778626	0.3890284428
220	0.8866412214	0.3883275623
221	0.8866412214	0.3877908843
222	0.8881679389	0.3870425694
223	0.8893129771	0.3861148759
224	0.8896946565	0.3855501449
225	0.8904580153	0.3850629912
226	0.8919847328	0.3842042828
227	0.8935114504	0.38349061
228	0.8946564885	0.3826316916
229	0.8950381679	0.3819925325
230	0.8961832061	0.3812156874
231	0.8961832061	0.3806094711
232	0.8969465649	0.3798355976
233	0.8961832061	0.3792587537
234	0.8969465649	0.3784455547
235	0.8969465649	0.3774086416
236	0.8973282443	0.3765748158
237	0.8980916031	0.3755673641
238	0.8973282443	0.3746619168
239	0.8973282443	0.3738476092
240	0.8980916031	0.3732634077
241	0.8988549618	0.3725294561
242	0.9	0.371786006
243	0.9003816794	0.3709465712
244	0.9003816794	0.3702151166
245	0.9019083969	0.3691473882
246	0.9026717557	0.3686216343
247	0.9034351145	0.3679340374
248	0.9038167939	0.3673626543
249	0.9041984733	0.3665521951
250	0.9045801527	0.3660395316
251	0.9041984733	0.3655911328
252	0.9049618321	0.3649685198
253	0.9057251908	0.3642183023
254	0.9057251908	0.3636036995
255	0.9057251908	0.3630299635
256	0.9061068702	0.3624349534
257	0.906870229	0.3612021524
258	0.9076335878	0.3600354519
259	0.9076335878	0.3594597502
260	0.9076335878	0.3586455229
261	0.9076335878	0.3580327798
262	0.9072519084	0.3572922377
263	0.9076335878	0.3564717109
264	0.9083969466	0.355751357
265	0.9080152672	0.3550956611
266	0.9110687023	0.3542149037
267	0.9103053435	0.3534268293
268	0.9110687023	0.3527190881
